legal_entity_customer_number,banding,credit_risk_rating_description,exist_days,prod_mix_m1,prod_mix_m2,prod_mix_m3,prod_mix_m4,prod_mix_m5,prod_mix_m6,prod_mix_m7,prod_mix_m8,prod_mix_m9,sites_visited_m1,sites_visited_m2,sites_visited_m3,sites_visited_m4,sites_visited_m5,sites_visited_m6,sites_visited_m7,sites_visited_m8,sites_visited_m9,volume_m1,volume_m2,volume_m3,volume_m4,volume_m5,volume_m6,volume_m7,volume_m8,volume_m9,churn_label
2145,B,B - Medium,2361,10,8,9,8,7,9,8,8,11,125,118,126,111,92,112,127,97,100,26412.38,24851.6,27259.18,20499.49,19175.92,23984.31,21293.89,11982.43,12935.64,0
2146,C,F - Other,2359,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,25.81,22.95,14.23,11.33,6.49,18.57,14.72,14.67,24.42,0
2147,D,C - High Risk,2364,4,4,4,4,4,5,5,4,3,2,2,2,1,1,2,1,2,1,357.26,251.39,187.55,88.67,146.43,132.88,184.88,84.25,34.88,0
2148,C,C - High Risk,2372,7,7,6,6,6,6,6,7,7,17,26,26,16,15,14,11,15,17,2497.56,7166.69,5529.34,2199.56,2413.04,1200.35,832.94,2288.15,1768.6,0
2149,D,C - High Risk,2374,4,5,4,4,3,5,4,3,3,7,6,7,4,9,8,7,3,3,1051.8,575.45,960.35,503.43,1911.88,720.28,730.38,91.46,183.18,0
2150,C,F - Other,2360,2,2,1,0,1,1,1,0,2,2,1,1,0,1,1,1,0,3,59.7,43.87,19.05,0,36.56,30.42,31.5,0,124.42,0
2151,D,C - High Risk,2356,4,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,101.86,128.9,107.77,76.83,36.56,60.19,71.49,71.68,84.55,0
2152,C,F - Other,2356,1,3,1,0,2,1,1,4,1,2,1,1,0,1,2,1,2,1,54.14,47.47,26.61,0,32.04,45.05,26.24,48.94,49.44,0
2153,B,C - High Risk,2355,6,7,6,5,5,6,7,6,6,19,19,17,11,13,16,14,13,13,1980.88,1971.13,1548.55,1134.84,1097.78,1310.11,1353.88,1344.83,1225.96,0
2154,B,C - High Risk,2351,6,5,6,6,6,5,5,4,5,24,25,18,18,23,8,9,5,10,8914.52,9517.85,7608.97,4898.4,4559.76,3644.85,3881.21,1560.68,3954.94,0
2155,D,C - High Risk,2357,9,9,10,9,9,7,8,9,10,1,1,1,1,1,1,1,1,1,76.09,104.27,76.43,7.88,38.4,42.19,39.27,75.43,39.57,0
2156,C,C - High Risk,2365,4,5,9,3,7,4,6,8,6,40,49,53,33,42,59,62,42,44,2271.21,2764.65,2761.5,1707.63,2587.57,3392.41,3584.11,2767.52,2463.99,0
2157,C,B - Medium,2352,14,9,10,9,8,5,8,7,6,16,17,15,13,11,8,12,12,7,10360.85,7224.16,3607.15,2884.66,1240.76,482.89,921.63,427.48,97.51,0
2158,C,C - High Risk,2362,6,7,7,5,6,7,12,7,8,12,13,9,6,9,13,9,9,9,3025.84,3481.77,3500.55,1168.5,2897.12,2533.5,2990.25,2480.92,3942.92,0
2159,C,F - Other,2352,2,3,1,2,4,3,0,2,2,1,1,1,2,1,1,0,1,10,29.67,79.16,29.68,38.42,39.22,81.31,0,55.5,250.75,0
2160,D,C - High Risk,2345,4,4,3,3,6,4,4,2,5,1,1,1,1,1,1,1,1,1,35.15,61.78,61.37,50.55,50.01,36.22,93.89,18.76,94.29,0
2161,C,B - Medium,2341,5,5,5,4,4,4,3,3,3,8,12,15,13,10,14,10,10,6,1930.45,3149.72,4495.57,4886.09,2383.61,3758.21,1886.18,3215.6,1657.3,0
2162,C,C - High Risk,2354,10,8,10,9,9,9,10,9,8,29,24,24,15,23,23,27,30,23,4606.81,4434.71,4384.12,3602.36,3895.31,4209.5,4529.44,4431.82,4332.94,0
2163,D,C - High Risk,2351,11,13,13,7,9,10,12,12,14,22,26,30,16,25,26,31,25,28,1960.32,1827.34,2478.61,1078.83,2068.88,2116.53,2526.63,1733.67,2436.2,0
2164,D,C - High Risk,2343,1,1,3,0,2,1,2,2,2,2,2,5,0,3,1,3,3,3,561.75,435.84,1091.56,0,722.65,925.06,890.79,171.77,1349.2,0
2165,A,B - Medium,2351,7,7,6,6,8,6,7,7,7,14,12,10,9,8,12,13,12,11,703.64,702.94,552.53,406.05,532.9,713.45,688.16,621.5,669.76,0
2166,D,C - High Risk,2341,3,4,4,5,3,4,5,3,4,5,7,5,6,4,4,6,3,7,1252.73,1481.38,586.5,1004.57,1033.89,943.33,1760.34,335.54,1936.19,0
2167,D,C - High Risk,2340,3,4,5,1,4,4,3,4,2,4,4,3,1,4,4,2,3,2,149.61,137.49,85.15,58.53,165.55,132.17,114.02,135.98,44.89,0
2168,C,B - Medium,2348,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2214.19,1936.43,2425.68,1661.98,1781.81,2139.77,2194.31,2082.7,2610.79,0
2169,B,B - Medium,2333,11,11,10,6,10,8,13,7,4,139,119,112,64,77,93,117,19,14,20395.09,18397.8,15788.96,7099.38,10566.34,14346.16,17458.5,984.98,816.08,0
2170,B,B - Medium,2342,13,12,15,10,12,11,9,11,14,46,38,38,22,16,19,29,34,37,26385.81,23463.27,24779.65,11207.19,9329.78,12212.76,17528.97,17012.8,21875.69,0
2171,D,C - High Risk,2336,4,3,2,3,4,2,4,4,3,19,9,10,5,9,8,6,15,9,854.42,586.94,746.39,165.75,283.2,349.08,251.5,767.33,532.29,0
2172,C,D - No Unsecured credit,2333,6,8,5,0,2,4,4,4,5,16,15,9,0,1,3,5,4,13,1757.11,2066.48,778.72,0,239.59,298.78,1546.3,595.77,2316.7,0
2173,C,F - Other,2347,1,2,3,0,1,3,1,4,1,1,2,2,0,1,1,1,2,1,41.72,121.73,54.58,0,39.62,104.77,44.29,85.19,27.42,0
2174,C,C - High Risk,2341,8,8,9,7,5,7,7,7,7,16,18,22,11,15,17,18,15,20,2318.5,8333.85,7016.77,3626.25,2694.57,5829.02,9062.18,3414.33,9995.37,0
2175,C,C - High Risk,2342,6,9,5,5,6,5,6,8,8,23,26,28,16,19,13,38,35,27,2823.98,2654.88,2990.48,1332.12,2203.6,1197.45,3225.22,2646.23,2743.66,0
2176,D,C - High Risk,2326,2,1,1,1,2,1,1,3,2,3,3,3,2,2,2,3,2,3,202.08,105.45,117.17,96.59,55.97,103.55,108.37,40.66,165.11,0
2177,D,C - High Risk,2321,3,3,4,4,3,4,6,7,6,8,4,4,4,5,5,5,5,5,864.73,319.03,835.15,486.55,676.51,852.68,849.43,668.72,691.22,0
2178,C,F - Other,2328,2,6,1,0,3,1,2,2,2,1,2,1,0,1,1,1,1,1,39.55,48.84,10.33,0,28.62,11.73,21.35,10.1,34.52,0
2179,B,B - Medium,2325,6,6,5,4,5,5,5,5,7,2,2,1,1,1,2,2,2,2,3926.75,3666.87,4515.93,2616.08,2585.39,3065.14,3078.54,3216.36,3377.25,0
2180,C,B - Medium,2319,2,3,3,2,2,2,2,3,3,23,21,21,2,12,18,11,16,19,1840.16,2350.59,1725.23,187.18,1371.05,1796.54,1349.11,1541.33,1632.89,0
2181,C,C - High Risk,2335,8,7,6,0,0,4,6,9,7,43,29,19,0,0,10,27,27,29,4490.1,3108.97,1882.35,0,0,713.34,2851.98,2307.34,2630.33,0
2182,C,C - High Risk,2334,5,6,3,2,4,8,5,4,5,39,44,33,10,30,20,25,20,24,3740.65,4005.29,3457.07,1164.48,2570.78,1531.8,2432,2239.1,2158.87,0
2183,B,B - Medium,2330,7,3,5,9,5,5,8,6,6,9,5,6,6,6,8,7,5,7,3641.81,2955.63,2295.98,2828.54,4412.92,4415.62,2948.64,2066.68,2844.81,0
2184,D,B - Medium,2326,2,1,3,1,1,2,2,1,3,1,1,3,2,4,3,3,4,2,41.42,156.66,154.28,160.06,295.88,294.54,205.37,251.02,244.44,0
2185,A,B - Medium,2324,10,9,9,9,8,9,8,9,6,34,32,36,45,30,35,33,27,33,98627.17,113534.53,101086.19,82953.45,77638.49,91092.76,99318.67,96936.59,98565.79,0
2186,D,C - High Risk,2313,12,12,11,9,9,10,12,10,12,4,4,4,3,3,3,4,4,3,83.71,75.14,38.13,201.98,26.57,44.34,70.34,43.11,36.89,0
2187,D,B - Medium,2311,6,7,6,7,6,8,4,4,6,16,14,16,18,15,16,11,10,16,479.6,266.01,597.47,460.79,859.43,1020.93,804.02,131.66,446.25,0
2188,D,C - High Risk,2306,5,8,6,6,5,6,7,6,6,3,4,2,2,2,2,2,2,2,127.59,210.48,15.58,41.22,78.52,29.01,31.41,72.63,49.08,0
2189,C,F - Other,2314,2,3,1,1,1,4,3,3,2,2,2,1,1,2,2,4,2,2,69.95,50.24,23.67,15.9,44.73,88.36,106.3,88.36,62.3,0
2190,C,F - Other,2309,1,2,2,1,1,1,2,3,1,1,2,1,1,1,1,2,2,1,50.89,47.92,35.38,19.58,23.5,64.86,31.28,67.62,24.94,0
2191,C,F - Other,2310,1,1,1,0,1,1,1,3,1,1,1,1,0,1,1,1,1,1,17.77,10.9,15.69,0,14.67,7.87,5.33,15.46,4.76,0
2192,D,C - High Risk,2314,3,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5.2,2.08,2.43,6.08,2.06,4.29,2.56,2.17,1.72,0
2193,D,C - High Risk,2313,0,4,3,5,3,5,5,4,5,0,7,5,10,6,7,7,6,6,0,91.8,32.27,192.57,31.07,268.82,223.11,40.13,199.6,0
2194,C,B - Medium,2319,9,8,9,7,7,7,9,7,7,21,21,19,16,16,19,21,15,11,1430.5,661.76,1310.91,999.41,1075.2,955.93,963.33,770.05,359,0
2195,D,B - Medium,2315,3,2,2,2,4,2,5,3,3,1,1,2,1,1,1,1,1,1,103.82,138.21,43.79,102.27,87.72,110.46,133.76,86.54,138.36,0
2196,B,B - Medium,2307,4,5,8,6,0,5,7,7,6,7,7,8,6,0,7,10,10,6,283.87,13.76,79.02,265.68,0,114.38,774.56,990.53,510.51,0
2197,C,F - Other,2313,4,4,3,2,4,5,3,3,4,1,1,1,2,2,1,1,2,2,181.36,171.85,129.65,77.8,139.41,172.11,94.96,164.05,114.68,0
2198,D,B - Medium,2312,3,2,2,2,2,2,2,3,7,3,2,2,1,1,1,1,2,11,279.25,241.53,122.96,18.16,17.74,17.84,48.34,89.84,916.71,0
2199,C,B - Medium,2291,0,5,5,4,0,4,4,5,4,0,1,1,1,0,1,1,1,1,0,2.15,36.08,30.1,0,8.6,5.02,30.25,21.5,0
2200,C,F - Other,2294,5,6,4,5,6,2,5,4,3,4,5,3,3,3,3,5,4,3,190.87,171.51,117.53,80.24,106.82,91.17,215.07,171.01,170.75,0
2201,C,C - High Risk,2306,3,5,6,4,1,3,5,4,5,16,22,29,17,7,18,32,14,20,1479,2269.43,3046.35,1449.43,1357.92,1657.77,3560.88,1856.25,2201.32,0
2202,D,C - High Risk,2289,3,2,1,0,0,2,2,1,3,1,1,1,0,0,1,1,1,1,25.05,17.86,21.1,0,0,10.95,22.48,12.57,32.84,0
2203,C,C - High Risk,2300,4,3,3,3,3,6,3,4,5,1,1,1,1,1,1,1,1,2,106.91,98.77,100.79,39.67,87.2,113.42,112.17,73.53,110.96,0
2204,D,D - No Unsecured credit,2291,2,2,1,1,1,1,1,0,1,5,7,9,2,2,2,1,0,1,236.68,248.65,557.27,83.55,44.24,50.27,42.64,0,7.77,1
2205,D,B - Medium,2301,3,3,3,3,4,3,3,3,4,2,2,2,1,3,2,3,2,2,252.87,262.07,291.4,98.39,229.57,193.13,340.54,141.75,245.34,0
2206,D,C - High Risk,2292,12,5,14,7,9,11,8,11,7,11,5,11,5,10,7,10,8,3,706.97,538.71,797.71,673.23,1037.96,959.95,1039.51,946.97,563.19,0
2207,A,B - Medium,2295,6,6,6,6,6,6,6,5,6,5,5,5,4,5,5,5,4,5,1408.48,1510.29,1892.6,1115,1560.78,1376.28,1190.3,1244.88,1524.15,0
2208,B,C - High Risk,2296,7,8,8,7,8,8,7,8,8,4,5,4,4,5,4,5,5,5,916.88,1898.93,1760.97,1280.25,1546.43,1691.81,1553.63,1844.78,1717.08,0
2209,D,B - Medium,2297,3,7,4,4,4,4,5,2,6,5,8,4,2,2,4,3,3,6,385.06,496.73,294.91,98.68,104.6,144.92,86.67,79.51,272.08,0
2210,C,F - Other,2298,1,1,1,0,0,2,2,1,1,1,2,1,0,0,1,4,1,1,78.73,92.47,58.15,0,0,95.99,210.67,103.76,72.14,0
2211,D,C - High Risk,2280,2,1,2,0,1,1,1,2,1,2,1,1,0,1,1,1,1,1,67.49,94.92,51.61,0,12.17,38.04,38.4,73.69,69.75,0
2212,D,B - Medium,2281,3,5,5,0,2,3,4,2,3,17,14,8,0,8,20,26,14,29,1763.42,1355.58,737.2,0,625.39,2147.55,2978.32,1087.66,3805.25,0
2213,C,F - Other,2290,3,2,3,3,3,4,3,2,4,1,1,1,1,1,1,1,1,1,6.2,6.47,5.82,3.17,8.68,7.29,8.07,5.9,3.43,0
2214,C,C - High Risk,2298,2,3,2,0,0,3,3,3,4,1,1,1,0,0,2,1,1,2,17.18,29.21,30.28,0,0,27.06,25.62,29.43,38.97,1
2215,A,B - Medium,2280,15,13,14,11,12,15,14,14,15,36,39,39,37,42,41,53,44,52,58759.86,70508.74,84792.52,77042.96,88507.13,93391.91,99440.41,68550.84,104835.86,0
2216,A,D - No Unsecured credit,2294,6,5,5,4,4,4,7,7,5,7,7,5,5,3,4,6,8,5,569.75,1407.96,707.57,755.09,10.3,117.83,456.82,731.15,106.14,0
2217,C,C - High Risk,2291,7,8,7,6,9,6,7,8,7,18,20,8,13,13,12,13,17,15,1356.12,1715.04,649.73,1016.78,1053.17,1020.03,1019.96,1144.41,1226.06,0
2218,C,F - Other,2273,1,3,1,0,1,1,2,2,0,1,1,1,0,1,1,1,1,0,29.81,27.46,33.13,0,17.09,12.36,16.86,10.04,0,0
2219,C,C - High Risk,2276,10,9,8,10,10,12,10,10,12,4,4,4,3,4,3,2,2,3,1375.38,1279.34,813.42,220.13,486.62,275.8,28.75,63.78,122.48,0
2220,D,B - Medium,2274,14,9,9,11,10,8,10,11,9,25,17,18,25,19,25,20,19,24,1915.07,378.29,666.21,2185.59,1137.92,1534.38,1233.56,1130.74,2492.26,0
2221,A,B - Medium,2271,5,7,6,6,5,6,7,5,5,13,11,17,13,13,15,10,15,9,14475.23,13951.57,14303.2,8038.81,8279.87,4153.26,1109.27,2088.01,1546.05,0
2222,D,C - High Risk,2270,2,3,3,2,2,3,2,3,3,4,6,4,3,3,3,3,3,3,404.27,955.11,309.75,269.45,471.8,329.39,55.84,93.72,77.94,0
2223,B,C - High Risk,2269,2,3,1,1,1,1,1,0,1,3,5,4,7,2,4,5,0,5,141.2,230.17,232.77,444.22,106.66,253.67,296.04,0,320.18,0
2224,D,C - High Risk,2274,3,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,22.17,43.5,14.03,13.68,30.1,10.76,40.99,30.95,32.74,0
2225,B,C - High Risk,2281,3,3,1,2,4,4,3,3,3,1,1,1,1,1,1,1,1,1,100.24,108.31,109.71,163.74,196.56,132.11,91.83,80.59,69.4,0
2226,A,B - Medium,2279,7,8,9,7,7,7,10,7,8,10,8,12,10,10,10,11,12,10,9054.97,10792.81,9359.87,7731.68,8931.95,8361.57,9388.69,8870.86,7706.01,0
2227,D,C - High Risk,2284,2,4,3,0,2,2,1,1,4,7,10,11,0,11,7,4,8,14,597.75,795.75,1629.97,0,769.44,1317.75,360.66,1007.82,1245.52,0
2228,B,B - Medium,2273,9,10,6,6,6,6,7,7,7,55,51,40,39,46,51,43,48,50,13972.21,14914.96,14916.34,8926.09,10161.59,14163.54,12642.03,14038.75,16349.06,0
2229,C,C - High Risk,2275,2,2,2,1,1,3,2,2,2,25,18,22,21,25,35,36,28,31,5289.43,5084.53,4964.06,2728.65,3797.39,6274.57,7041.91,5757.89,7754.54,0
2230,D,C - High Risk,2273,8,6,7,6,7,7,9,11,9,13,20,28,5,14,20,21,25,28,644.96,1769.25,1750.64,263.71,912.31,1966.19,1522.13,1744.6,2347.68,0
2231,D,C - High Risk,2272,5,4,6,4,3,6,5,3,5,7,7,7,5,7,7,8,6,7,477.16,548.54,427.31,300.7,499.28,622.61,501.38,372.05,539.46,0
2232,B,B - Medium,2262,7,7,8,7,8,7,7,7,7,18,18,19,19,15,18,19,20,16,9033.53,8995.4,10282.19,8068.31,6800.41,7178.24,8239.85,6951.75,7678.11,0
2233,C,F - Other,2265,3,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,24.6,22.21,14.53,16.73,18,17.8,19.72,15.91,20.28,0
2234,A,C - High Risk,2261,1,1,0,0,2,1,4,2,2,2,2,0,0,2,2,8,2,1,68.43,67.04,0,0,90.67,91.69,558.45,158.48,162.77,0
2235,D,C - High Risk,2262,1,1,2,2,3,3,3,2,4,1,1,2,2,1,3,3,1,2,85.95,40.14,190.76,158.35,148.39,98.09,167.25,108.33,185.03,0
2236,D,C - High Risk,2264,12,10,6,3,6,4,6,6,8,6,6,3,1,2,2,3,3,5,413.62,272.63,136.98,56.97,116.98,172.32,250.52,130.51,289.75,0
2237,B,B - Medium,2255,7,7,6,8,6,9,8,7,9,86,75,79,50,68,83,93,73,101,7822.57,6709.91,6938.25,4890.39,6530.82,8008.59,8763.91,6672.14,8652.13,0
2238,C,B - Medium,2269,6,7,6,4,4,3,4,3,5,14,22,15,13,9,9,8,7,12,4573.67,8166.77,2430.25,3920.45,2524.86,1948.95,1412.36,1063.09,2899.37,0
2239,D,C - High Risk,2259,8,4,6,5,6,7,5,6,8,24,9,15,10,12,14,11,18,18,1908.42,711.46,1155.4,669.54,1052.81,1066.14,731.01,1426.84,1529.18,0
2240,C,F - Other,2263,2,2,0,0,1,1,3,6,6,2,1,0,0,1,1,3,2,2,74.49,18.6,0,0,18.63,12.42,129.88,123.08,37.2,0
2241,B,C - High Risk,2250,7,6,5,5,7,6,6,5,5,11,10,9,8,12,10,11,10,10,12818.96,13160.03,15851.87,5032.92,9261.34,13693.03,10578.73,7210.29,13585.61,0
2242,C,C - High Risk,2250,4,5,5,3,5,4,5,5,4,3,3,4,1,3,3,4,4,3,316.69,491.21,405.23,18,359.89,267.29,510.11,521.07,318.79,0
2243,A,A - Low Risk,2258,5,4,4,3,4,3,5,6,5,12,12,9,4,9,19,24,22,21,488.82,527.32,288.98,146.51,283.08,800.97,1047.6,907.47,1121.14,0
2244,A,A - Low Risk,2257,9,9,9,7,11,14,11,11,11,4,4,3,2,7,8,8,9,8,308.64,328.1,183.75,102.3,592.87,893.56,1050.56,903.81,1009.62,0
2245,B,C - High Risk,2242,3,4,4,4,3,3,3,3,0,2,3,3,3,2,2,2,2,0,60.21,200.98,431.04,52.13,55.89,226.61,40.07,259.69,0,0
2246,C,F - Other,2247,4,6,4,1,3,2,4,4,2,2,2,1,1,2,1,1,2,1,89.91,76.88,58.18,14.48,48.03,31.64,29.28,82.07,49.76,0
2247,C,B - Medium,2241,6,5,5,5,5,4,5,6,5,3,2,3,2,3,2,2,3,3,343.71,278.54,324.36,216.19,232.35,272.78,325.24,291.45,298.14,0
2248,D,C - High Risk,2245,3,3,3,0,0,3,3,4,3,2,2,2,0,0,1,2,1,1,11.74,18.22,3.94,0,0,12.23,7.27,3.14,6.16,1
2249,C,C - High Risk,2242,8,9,6,2,9,8,10,10,8,21,54,51,12,36,58,63,39,29,991.46,3456.93,3116.12,848.84,2594.27,3784.8,4189.39,2668.5,1762.55,0
2250,C,C - High Risk,2228,4,5,6,0,4,7,4,5,4,7,7,7,0,6,9,9,8,9,156.33,527.96,210.43,0,33.71,171.86,532.1,256.14,249.79,0
2251,C,A - Low Risk,2235,6,6,6,9,11,10,8,10,8,6,8,8,9,10,10,8,9,11,662.15,1155.35,604.52,683.23,988.81,1334.07,240.95,634.61,2087.78,0
2252,D,D - No Unsecured credit,2230,5,4,5,3,5,4,5,3,3,10,8,10,5,7,6,5,8,5,986.86,358.33,310.52,79.55,708.25,159.1,95.45,358.96,119.33,0
2253,D,C - High Risk,2235,6,5,4,4,3,5,4,4,5,11,11,8,7,5,8,5,10,7,874.64,1400.2,309.2,526.33,302.8,1214.29,379.23,820.07,324.26,0
2254,C,F - Other,2226,3,3,1,6,1,4,5,1,3,3,1,2,2,1,2,5,2,5,76.53,57.82,42.27,109.91,121.01,109,279.3,262.25,172.45,0
2255,C,B - Medium,2218,3,3,3,3,3,3,3,3,4,19,16,19,16,16,13,14,20,19,5832.02,4784.2,5111.9,5574.51,5148.09,5589.93,6083.74,5360.86,6248.8,0
2256,D,C - High Risk,2231,9,7,6,5,6,7,11,9,10,15,10,12,7,6,11,13,10,15,1426.34,1077.74,1147.52,1109.44,1035.94,1220.7,1667.8,1504.55,1522.98,0
2257,C,F - Other,2216,3,1,3,1,3,3,3,2,3,1,1,1,1,1,1,1,1,1,6.53,2.32,4.82,1.85,10.1,9.72,10.85,12.61,20.44,0
2258,D,B - Medium,2229,4,3,2,2,2,2,5,3,5,4,3,2,2,2,2,5,4,6,96.39,44.98,18.56,33.88,56.88,29.59,168.15,137.84,322.51,0
2259,B,C - High Risk,2225,7,7,5,5,6,5,5,5,6,12,13,11,8,10,10,9,7,10,1691.35,1566.56,1373.76,1136.07,1009.27,1084.74,1251.86,837.82,1253.05,0
2260,C,F - Other,2213,5,2,4,1,4,5,7,3,3,2,2,2,1,2,2,4,2,2,49.1,48.52,25.38,26.67,48.07,43.8,104.13,71.31,49.37,0
2261,C,C - High Risk,2223,6,7,8,8,9,7,9,7,8,5,6,5,5,5,6,6,5,6,1325.39,1271.47,782.12,728.25,312.27,620.55,321.78,51.02,70.2,0
2262,A,C - High Risk,2206,13,15,14,10,10,12,16,12,14,15,15,15,13,11,13,15,14,14,9941.88,10547.54,10053.86,7970.36,7239.57,8298.48,9781.15,9443.92,8629.83,0
2263,B,C - High Risk,2209,6,6,7,7,6,6,7,9,8,24,60,138,115,128,147,140,120,127,1742.84,4562.26,14230.87,12623.16,13454.12,15227.02,14202.35,10729.96,14110.82,0
2264,D,A - Low Risk,2202,6,5,6,0,6,6,4,4,5,1,1,1,0,1,1,1,1,1,4.31,2.2,2.25,0,0.5,1.79,1.65,1.49,2.33,0
2265,D,C - High Risk,2202,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,44.26,34.13,50.35,14.43,28.24,46.73,45.72,32.25,59.07,0
2266,D,C - High Risk,2190,4,3,4,4,5,4,4,0,5,4,3,4,5,3,5,4,0,4,175.82,130.95,235.42,259.88,69.4,366.39,245.11,0,117.3,1
2267,D,D - No Unsecured credit,2198,2,2,4,2,3,5,3,3,4,7,5,6,2,4,9,7,5,9,464.34,273.72,437.02,102.85,309.3,567.37,374.8,282.78,580.16,0
2268,D,C - High Risk,2200,8,7,6,7,6,8,7,5,8,5,7,6,6,5,7,8,3,6,1342.94,1239.05,899.72,1443.77,964.12,1304.81,1800.25,71.3,1830.26,0
2269,D,B - Medium,2205,8,8,7,9,6,7,6,10,6,2,2,2,2,2,3,2,3,2,228.05,137.59,155.72,209.5,239,310.03,272.74,361.61,329.88,0
2270,C,F - Other,2207,2,3,1,0,1,1,3,3,2,3,1,1,0,1,1,2,3,2,74.03,64.44,39,0,24.94,48.6,84.69,82.03,63.29,0
2271,C,F - Other,2196,1,1,2,0,0,1,2,4,3,1,2,1,0,0,1,6,1,3,38.69,77.2,31.58,0,0,38.92,198.91,23.43,107.8,0
2272,C,F - Other,2200,3,5,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,29.39,37.23,19.22,10.21,26.69,10.78,26.34,32.12,18.32,0
2273,D,C - High Risk,2199,6,4,4,4,4,4,4,4,3,31,35,31,29,28,32,26,29,25,2627.95,2501.95,2854.75,2569.29,2461.58,2437.31,2502.88,2508.91,2171.73,0
2274,C,C - High Risk,2190,8,7,7,6,7,6,6,7,8,8,9,10,8,9,10,9,10,10,4122.78,3267.55,4197.99,3425.93,3108.99,3346.17,3646.33,3302.12,3579.67,0
2275,D,C - High Risk,2200,3,3,3,4,3,3,3,3,3,6,7,7,5,7,8,9,5,7,383.34,447.12,333.25,255.95,710.31,377.14,815.9,769.26,295.41,0
2276,C,C - High Risk,2185,6,6,5,5,5,6,7,7,7,4,4,4,4,4,4,5,4,4,1745.34,1748.54,1813.1,1768.2,1771.01,1971.82,2497.7,2456.98,2614.37,0
2277,D,B - Medium,2191,1,3,3,0,2,2,4,1,2,3,3,3,0,2,3,3,2,1,102.59,52.52,42.49,0,58.18,81.67,181.88,110.55,40.81,0
2278,C,B - Medium,2189,17,19,14,12,11,12,14,14,13,15,16,13,7,11,11,15,18,15,1406.77,1466.87,957.91,654.52,863.26,911.81,1367.7,1524.97,1267.79,0
2279,C,F - Other,2194,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,11.18,10.61,5.56,7.2,7.83,15.94,16.83,24.85,17.6,0
2280,D,C - High Risk,2186,5,5,4,0,4,6,4,3,0,1,1,1,0,1,1,1,1,0,10.3,17.39,23.66,0,30.48,15.59,42.97,20.82,0,0
2281,D,D - No Unsecured credit,2179,2,4,5,0,3,3,6,0,4,4,4,4,0,2,3,4,0,3,1011.13,3161.08,425.29,0,98.73,210.82,1348.76,0,247.11,1
2282,D,C - High Risk,2175,9,7,9,4,5,0,9,5,7,17,14,13,10,7,0,13,10,13,3262.58,2480.62,1558.97,2698.15,1222.81,0,1628.58,2970.35,3077.82,0
2283,C,F - Other,2176,2,2,7,5,3,4,6,4,6,2,1,6,4,4,4,6,4,4,107.52,86.62,263.82,123.63,284.69,210.24,248.68,216.03,162.83,0
2284,C,C - High Risk,2172,2,4,3,4,1,2,3,3,1,2,5,3,3,2,3,3,2,2,124.15,158.85,147.32,123.42,94.66,157.65,74.28,57.97,62.81,0
2285,C,F - Other,2175,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,23.99,6.02,9.78,0,8.53,14.15,10.55,40.77,6.75,0
2286,D,C - High Risk,2186,3,2,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,48.73,52.95,22.66,22.15,22.04,45.18,80.91,65.48,72.61,0
2287,C,F - Other,2175,2,2,1,0,1,5,1,3,1,2,2,1,0,1,2,3,3,1,107.87,111.39,40.85,0,29.01,110.27,102.97,147.82,59.09,0
2288,B,C - High Risk,2165,9,8,8,5,7,8,9,8,8,26,22,30,2,18,18,21,15,22,2963.71,2994.82,3987.08,51.78,1984.56,2444.2,2752.67,1530.54,2914.82,0
2289,B,C - High Risk,2177,6,5,7,2,2,6,2,3,5,6,7,5,1,1,6,3,6,6,288.54,345.41,280.14,38.8,38.54,269.91,219.42,337.09,372.74,0
2290,B,C - High Risk,2170,7,8,7,9,8,8,9,7,8,1,1,1,1,1,1,1,1,1,31.45,38.69,15.85,26.05,29.71,26.28,15.91,4.2,3.64,0
2291,B,B - Medium,2163,11,10,11,11,8,9,10,10,12,55,52,51,32,43,54,68,63,81,8293.53,7998.46,6929.39,4584.72,5691.36,7520.26,9532.42,8127.12,13353.69,0
2292,B,C - High Risk,2168,6,3,4,3,4,3,4,6,2,5,3,3,2,4,3,4,3,3,942.58,899.38,892.12,198.94,545.43,551.26,640.79,491.92,554.02,0
2293,B,C - High Risk,2169,8,7,9,6,9,9,9,9,7,7,7,6,4,5,5,6,6,7,3010.15,2067.22,2853.91,317,1755.59,2367.06,1888.7,1402.83,2084.43,0
2294,B,C - High Risk,2172,7,6,6,5,4,4,5,5,6,14,17,16,15,15,12,13,18,17,1234.03,1467.98,1397.52,1431.49,1314.54,1162.21,1094.34,1505.31,1298.14,0
